ESP_V (kV),Voltage,Da,Dp,R
11.0,250,10.3336362545958,7.343795506793773,0.0
11.0,250,10.360057158168802,7.362572025355528,0.0
11.0,250,10.3865009478102,7.381364808337871,0.0
11.0,250,10.41296762352,7.400173855740808,0.0
11.0,250,10.4394571852982,7.418999167564336,0.0
11.0,250,10.4659696331448,7.437840743808455,0.0
11.0,250,10.2018750277568,7.2501568802938765,0.0
11.0,250,14.04851033822,9.98384155945901,0.0
11.0,250,14.0779750888902,10.00478124595943,0.0
11.0,250,14.107462725628801,10.025737196880444,0.0
11.0,250,18.0384105553862,12.819340174416475,0.0
11.0,250,18.070827608880002,12.842377971173198,0.0
11.0,250,18.103267548442197,12.865432032350506,0.0
11.0,250,18.1357303740728,12.888502357948413,0.0
11.0,250,18.168216085771803,12.91158894796691,0.0
11.0,250,18.2007246835392,12.934691802405995,0.0
11.0,250,18.233256167375004,12.957810921265676,0.0
11.0,250,18.2658105372792,12.980946304545943,0.0
11.0,250,18.2983877932518,13.004097952246804,0.0
11.0,250,18.330987935292796,13.027265864368255,0.0
11.0,250,18.363610963402202,13.050450040910302,0.0
11.0,250,18.39625687758,13.073650481872939,0.0
11.0,250,18.4289256778262,13.096867187256164,0.0
11.0,250,18.4616173641408,13.120100157059984,0.0
11.0,250,18.4943319365238,13.143349391284394,0.0
11.0,250,18.5270693949752,13.166614889929395,0.0
11.0,250,18.559829739495,13.189896652994989,0.0
11.0,250,18.592612970083202,13.213194680481175,0.0
11.0,250,18.625419086739797,13.236508972387947,0.0
11.0,250,18.6582480894648,13.259839528715316,0.0
11.0,250,18.6910999782582,13.283186349463277,0.0
11.0,250,18.0060163879608,12.796318642080344,0.0
11.0,250,18.723974753119997,13.306549434631824,0.0
11.0,250,17.973645106603797,12.773313374164806,0.0
11.0,250,17.908971202095003,12.727351631595507,0.0
11.0,250,17.2354221902712,12.24868119219068,0.0
11.0,250,17.267267092055,12.271312378432615,0.0
11.0,250,17.2991348799072,12.29395982909514,0.0
11.0,250,17.3310255538278,12.316623544178256,0.0
11.0,250,17.3629391138168,12.339303523681965,0.0
11.0,250,17.3948755598742,12.361999767606266,0.0
11.0,250,17.426834892000002,12.384712275951157,0.0
11.0,250,17.458817110194197,12.407441048716636,0.0
11.0,250,17.4908222144568,12.430186085902713,0.0
11.0,250,17.5228502047878,12.452947387509381,0.0
11.0,250,17.554901081187197,12.475724953536634,0.0
11.0,250,17.586974843655,12.498518783984485,0.0
11.0,250,17.619071492191203,12.521328878852929,0.0
11.0,250,17.6511910267958,12.544155238141958,0.0
11.0,250,17.683333447468797,12.56699786185158,0.0
11.0,250,17.715498754210202,12.589856749981797,0.0
11.0,250,17.74768694702,12.612731902532602,0.0
11.0,250,17.7798980258982,12.635623319503999,0.0
11.0,250,17.812131990844797,12.658531000895987,0.0
11.0,250,17.844388841859804,12.681454946708572,0.0
11.0,250,17.876668578943203,12.704395156941745,0.0
11.0,250,17.941296711315204,12.750324370669864,0.0
11.0,250,18.7568724140502,13.329928784220968,0.0
11.0,250,18.789792961048796,13.353324398230699,0.0
11.0,250,18.8227363941158,13.376736276661028,0.0
11.0,250,19.72086002078,14.015004945263383,0.0
11.0,250,19.754444263762203,14.03887222747027,0.0
